date,World Cup Qualif,Team_home,Team_away,Goals_home,Goals_away
2013-10-11,2014,Ecuador,Uruguay,1.0,0.0
2013-10-11,2014,Venezuela,Paraguay,1.0,1.0
2013-10-11,2014,Argentina,Peru,3.0,1.0
2013-10-15,2014,Paraguay,Colombia,1.0,2.0
2013-10-15,2014,Chile,Ecuador,2.0,1.0
2013-10-15,2014,Uruguay,Argentina,3.0,2.0
2013-10-15,2014,Peru,Bolivia,1.0,1.0
2015-10-08,2018,Bolivia,Uruguay,0.0,2.0
2015-10-08,2018,Colombia,Peru,2.0,0.0
2015-10-08,2018,Venezuela,Paraguay,0.0,1.0
2015-10-08,2018,Chile,Brazil,2.0,0.0
2015-10-08,2018,Argentina,Ecuador,0.0,2.0
2015-10-13,2018,Ecuador,Bolivia,2.0,0.0
2015-10-13,2018,Uruguay,Colombia,3.0,0.0
2015-10-13,2018,Paraguay,Argentina,0.0,0.0
2015-10-13,2018,Brazil,Venezuela,3.0,1.0
2015-10-13,2018,Peru,Chile,3.0,4.0
2015-11-12,2018,Bolivia,Venezuela,4.0,2.0
2015-11-12,2018,Ecuador,Uruguay,2.0,1.0
2015-11-12,2018,Chile,Colombia,1.0,1.0
2015-11-13,2018,Argentina,Brazil,1.0,1.0
2015-11-13,2018,Peru,Paraguay,1.0,0.0
2015-11-17,2018,Colombia,Argentina,0.0,1.0
2015-11-17,2018,Venezuela,Ecuador,1.0,3.0
2015-11-17,2018,Paraguay,Bolivia,2.0,1.0
2015-11-17,2018,Uruguay,Chile,3.0,0.0
2015-11-17,2018,Brazil,Peru,3.0,0.0
2016-03-24,2018,Bolivia,Colombia,2.0,3.0
2016-03-24,2018,Ecuador,Paraguay,2.0,2.0
2016-03-24,2018,Chile,Argentina,1.0,2.0
2016-03-24,2018,Peru,Venezuela,2.0,2.0
2016-03-25,2018,Brazil,Uruguay,2.0,2.0
2016-03-29,2018,Colombia,Ecuador,3.0,1.0
2016-03-29,2018,Uruguay,Peru,1.0,0.0
2016-03-29,2018,Venezuela,Chile,1.0,4.0
2016-03-29,2018,Argentina,Bolivia,2.0,0.0
2016-03-29,2018,Paraguay,Brazil,2.0,2.0
2016-09-01,2018,Bolivia,Peru,0.0,3.0
2016-09-01,2018,Colombia,Venezuela,2.0,0.0
2016-09-01,2018,Ecuador,Brazil,0.0,3.0
2016-09-01,2018,Argentina,Uruguay,1.0,0.0
2016-09-01,2018,Paraguay,Chile,2.0,1.0
2016-09-06,2018,Uruguay,Paraguay,4.0,0.0
2016-09-06,2018,Chile,Bolivia,3.0,0.0
2016-09-06,2018,Venezuela,Argentina,2.0,2.0
2016-09-06,2018,Brazil,Colombia,2.0,1.0
2016-09-06,2018,Peru,Ecuador,2.0,1.0
2016-10-06,2018,Ecuador,Chile,3.0,0.0
2016-10-06,2018,Uruguay,Venezuela,3.0,0.0
2016-10-06,2018,Paraguay,Colombia,0.0,1.0
2016-10-06,2018,Brazil,Bolivia,5.0,0.0
2016-10-06,2018,Peru,Argentina,2.0,2.0
2016-10-11,2018,Bolivia,Ecuador,2.0,2.0
2016-10-11,2018,Colombia,Uruguay,2.0,2.0
2016-10-11,2018,Argentina,Paraguay,0.0,1.0
2016-10-11,2018,Chile,Peru,2.0,1.0
2016-10-11,2018,Venezuela,Brazil,0.0,2.0
2016-11-10,2018,Colombia,Chile,0.0,0.0
2016-11-10,2018,Uruguay,Ecuador,2.0,1.0
2016-11-10,2018,Paraguay,Peru,1.0,4.0
2016-11-10,2018,Brazil,Argentina,3.0,0.0
2016-11-10,2018,Venezuela,Bolivia,5.0,0.0
2016-11-15,2018,Bolivia,Paraguay,1.0,0.0
2016-11-15,2018,Ecuador,Venezuela,3.0,0.0
2016-11-15,2018,Argentina,Colombia,3.0,0.0
2016-11-15,2018,Chile,Uruguay,3.0,1.0
2016-11-15,2018,Peru,Brazil,0.0,2.0
2017-03-23,2018,Colombia,Bolivia,1.0,0.0
2017-03-23,2018,Paraguay,Ecuador,2.0,1.0
2017-03-23,2018,Uruguay,Brazil,1.0,4.0
2017-03-23,2018,Argentina,Chile,1.0,0.0
2017-03-23,2018,Venezuela,Peru,2.0,2.0
2017-03-28,2018,Bolivia,Argentina,2.0,0.0
2017-03-28,2018,Ecuador,Colombia,0.0,2.0
2017-03-28,2018,Chile,Venezuela,3.0,1.0
